更新时间,#genre#
黑龙江卫视,http://171.118.232.143:9999/rtp/226.0.2.151:9120$山西联通组播源
安徽卫视,http://59.173.243.210:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
安徽卫视,http://49.234.31.101:7004udp://@224.9.2.67:5000$北京酒店源
安徽卫视,http://61.136.172.236:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
安徽卫视,http://202.168.187.221:9999http://i2.ekesh.cn:4001/rtp/239.12.21.23:10001$广东酒店源
安徽卫视,http://120.77.205.62:8087/rtp/239.77.1.13:5146$广东电信组播源
安徽卫视,http://120.77.205.62:8087/rtp/239.77.0.183:5146$广东电信组播源
安徽卫视,http://139.129.231.228:50060/rtp/239.21.1.159:5002$山东电信组播源
安徽卫视,http://139.129.231.228:3529/rtp/239.21.1.159:5002$山东电信组播源
安徽卫视,http://112.114.137.86:888/rtp/239.200.200.37:8212$云南电信组播源
安徽卫视,http://116.117.107.5:8096/rtp/239.125.1.173:4130$内蒙古联通组播源
安徽卫视,http://171.118.233.231:9999/rtp/226.0.2.145:9072$山西联通组播源
安徽卫视,http://171.118.232.109:9999/rtp/226.0.2.145:9072$山西联通组播源
安徽卫视,http://171.118.232.143:9999/rtp/226.0.2.145:9072$山西联通组播源
安徽卫视,http://118.81.96.21:9999/rtp/226.0.2.145:9072$山西联通组播源
重庆卫视,http://61.136.172.236:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
重庆卫视,http://49.234.31.101:7004udp://@224.9.2.70:5000$北京酒店源
重庆卫视,http://59.173.243.210:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
重庆卫视,http://221.12.38.165:6610/zjhs/2/10142/index.m3u8?virtualDomain=zjhs.live_hls.zte.com$广东酒店源
重庆卫视,http://120.77.205.62:8087/rtp/239.77.1.16:5146$广东电信组播源
重庆卫视,http://120.77.205.62:8087/rtp/239.77.0.182:5146$广东电信组播源
重庆卫视,http://139.129.231.228:50060/rtp/239.21.1.233:5002$山东电信组播源
重庆卫视,http://139.129.231.228:3529/rtp/239.21.1.233:5002$山东电信组播源
重庆卫视,http://112.114.137.86:888/rtp/239.200.200.49:8264$云南电信组播源
